id,design,varied,bottle,fill,pitch,approach,yaw,dx,dy,neck_mm,bottle_d_mm,liquid_mm,liquid_g,dive_target_mm,diverged,wall_s,sim_s,contacts_pads_bottle,contacts_blades_cap,contacts_pipette_bottle,contacts_pipette_clamp,contacts_rig_floor,contacts_pads_floor,contacts_pipette_floor,contacts_rig_bottle,table_hit_s,thread_released_s,thread_reengaged_s,slip_mm,tilt_in_hand_deg,track_worst,pad_height_mm,pad_planned_mm,lift_mm,cap_rise_mm,blade_contacts,cap_off_axis_mm,cap_to_seat_mm,tip_off_axis_mm,tip_height_mm,tip_submerged_mm,bottle_tilt_dive_deg,liquid_to_shoulder_mm,recap_lift_mm,cap_end_mm,placed_error_mm,placed_tilt_deg,placed_z_mm,ok_table,ok_grip,ok_lift,ok_uncap,ok_cap_away,ok_reach_liquid,ok_recap,ok_place,first_failure,success,blade_slip_turns,error
B-100ml-f0.25-p+4.8-side-y256-x+1.4-y-5.5,B,all,100,0.25,4.8,side,256,1.4,-5.5,28,47.4252440598675,17.11302445521971,23.854068355803715,-5.697852433223887,False,45.32,28.4,78544,79220,0,0,0,0,0,0,,9.331999999999914,19.60049999999967,9.581312725923135,10.025524853313447,9.283522679573323,58.193072850531536,59.874954642185315,101.41312348741482,4.029185257280354,79220,84.31958723442084,1.260197009124008,3.3054792628713265,21.1438573544955,-1.1644411550503357,1.7069115461203799,58.48766759571322,-0.14995669505111922,0.33417346887102867,6.449515166683194,0.02045806227675835,-0.0013521030432551463,True,True,False,True,True,False,True,True,lift,False,0.06419781318014546,
B-60ml-f0.80-p+19.8-side-y245-x+1.0-y+3.3,B,all,60,0.8,19.8,side,245,1.0,3.3,25,40.0,47.15702017537638,45.37037037037036,39.65702017537638,False,23.64,28.4,99823,76148,0,0,0,0,0,982,,8.623999999999048,19.60049999999967,11.327807722701483,16.359463623243805,8.671288392645437,43.90576573632222,44.1,99.34681274919191,5.2072397287105945,76148,82.6699220413263,0.4678140682775504,2.6333587387953026,39.24015684749328,9.287924708867829,15.995335593815534,10.933148697070425,0.11197371469707254,0.32992626689760024,34.25029069296342,7.778248095798993e-06,-0.0015477599620967004,True,True,False,True,True,True,True,False,lift,False,0.061247978108539845,
B-100ml-f0.50-p+10.4-diagonal-y332-x-1.1-y-1.3,B,all,100,0.5,10.4,diagonal,332,-1.1,-1.3,28,47.4252440598675,34.22604891043942,47.70813671160743,11.415172021995819,False,63.01,28.4,71622,28489,5053,0,0,0,0,31590,,8.099999999998408,,48.56861414938522,39.49788533705887,6.765441338480699,59.711251400025034,59.874954642185315,100.6167780530669,7.293167142986167,28489,93.39442298189843,5.696658400881335,11.491962054574701,113.83614691775932,-65.29789593270446,24.401464658667646,32.234672706637426,,598.9072920272158,35.70826239004428,0.13335049771357718,0.04018232982893498,True,True,False,True,False,False,False,False,lift,False,0.8966213572478032,
B-100ml-f0.25-p-14.5-above-y199-x-2.1-y+1.0,B,all,100,0.25,-14.5,above,199,-2.1,1.0,28,47.4252440598675,17.11302445521971,23.854068355803715,-5.697852433223887,False,122.23,28.4,64922,2254,9489,0,2185,0,0,40183,1.257499999999917,,,30.788695730647003,28.602413310026765,12.470654469265448,71.2412318104028,59.874954642185315,81.87267271450153,-0.19630733367553832,2254,0.0061042663586277635,129.0298775090737,23.496802615815476,81.68823794537863,-54.7954339065139,23.102490112656177,49.93129607432666,,0.19999868131515364,25.76963394949055,0.14157751271238986,0.045162157285896856,False,False,False,False,False,False,False,False,table,False,,
B-60ml-f0.25-p-5.7-diagonal-y21-x+1.6-y-1.8,B,all,60,0.25,-5.7,diagonal,21,1.6,-1.8,25,40.0,14.736568804805119,14.178240740740737,7.236568804805119,False,85.59,28.4,50866,3279,4704,0,1975,0,0,0,1.2974999999999126,,,42.57798955214933,50.18083579410002,7.123691068352821,49.75112418724724,44.1,93.71944843568649,-0.19539065782843423,3279,0.010685510274118867,143.7449692145664,15.659108652591899,33.49911982189914,-9.023961433269474,22.523000972297883,41.04911991531803,,0.20006636558625157,16.67842387024349,0.36592550970682863,0.09543508165334524,False,False,False,False,False,False,False,False,table,False,,
B-50ml-f0.80-p-8.1-side-y185-x-0.5-y+1.6,B,all,50,0.8,-8.1,side,185,-0.5,1.6,25,37.64144115524114,44.7495330458836,37.6638148873315,42.703700374388454,False,133.22,28.4,60803,575,3060,0,4027,0,0,0,0.0025,,,17.91390761535443,17.588026914403706,27.207692115661693,52.93160869130106,38.498422743697716,85.5726852388088,-0.20061347822591946,575,0.006141908036115131,156.59613273679068,19.73173085498206,61.911747904655684,-16.507858942261088,5.109250859279605,12.24570285807391,,0.20012891957955203,24.179133440397706,0.43701479513268826,0.12186228975556998,False,False,False,False,False,False,False,False,table,False,,
B-60ml-f0.50-p-9.2-side-y340-x-5.8-y+0.4,B,all,60,0.5,-9.2,side,340,-5.8,0.4,25,40.0,29.473137609610237,28.356481481481474,21.973137609610234,False,37.12,28.4,67265,2204,754,0,3910,0,0,0,0.0025,,,18.382245806153787,18.658038407780484,23.44887482907173,56.91387393239947,44.1,86.57730463854719,-0.19959274863692866,2204,0.009811746239806032,141.6350814474785,10.848085444909747,37.9205114020197,-1.8980359198759316,19.908345075425565,27.257987968409296,,0.2000477766756867,25.267981583476296,0.38265368497041474,0.10581271329231617,False,False,False,False,False,False,False,False,table,False,,
B-60ml-f0.25-p+13.6-above-y89-x-5.7-y+3.7,B,all,60,0.25,13.6,above,89,-5.7,3.7,25,40.0,14.736568804805119,14.178240740740737,7.236568804805119,False,60.94,28.4,45343,3430,0,0,0,0,0,37014,,,,102.05944634150465,92.85787987520735,9.567736860406267,46.43948442168705,44.1,100.55607817876225,2.223929778682465,3430,0.9117446719410116,123.59751945868608,41.44183676994288,30.100898386464046,17.30064660872163,46.016637907859966,29.863050353579364,,0.06683514098830377,59.423814443627535,90.00016604417537,19.998931473562177,True,True,False,False,False,False,False,False,lift,False,,
B-50ml-f0.80-p-18.3-above-y123-x-5.9-y+2.7,B,all,50,0.8,-18.3,above,123,-5.9,2.7,25,37.64144115524114,44.7495330458836,37.6638148873315,42.703700374388454,False,9.56,28.4,9178,0,0,0,1738,0,0,3602,0.902499999999956,,,1.6764154586808697,5.194576136745835,65.00357684230394,72.08896414047457,38.498422743697716,0.8635234689309932,1.389492786334587,0,0.18701596347469326,195.9495194133809,6.05622795388132,137.31254803307604,-90.2132089069378,0.07531370226691814,13.731694893569639,,3.67224330798978,115.27470638163136,90.00043607806715,18.946727147457896,False,False,False,False,False,False,False,False,table,False,,
B-100ml-f0.25-p-1.8-diagonal-y43-x-1.8-y-5.4,B,all,100,0.25,-1.8,diagonal,43,-1.8,-5.4,28,47.4252440598675,17.11302445521971,23.854068355803715,-5.697852433223887,False,45.31,28.4,81261,23007,9862,0,0,0,0,22070,,7.425499999998604,,40.248750293548625,33.38896350330798,6.765417045821474,57.978519355054,59.874954642185315,101.15978990052781,11.560367279555825,23007,91.41207793757243,10.139149951450005,14.80357481886001,107.80892552830096,-85.29737689261435,25.54773408180327,48.82266151195339,,15.553051636478994,32.79666127728271,3.103792462424239,1.1586331589614398,True,True,False,True,False,False,False,False,lift,False,0.42671376319238347,
B-100ml-f0.25-p+3.4-above-y203-x+5.4-y-1.6,B,all,100,0.25,3.4,above,203,5.4,-1.6,28,47.4252440598675,17.11302445521971,23.854068355803715,-5.697852433223887,False,24.25,28.4,85502,77873,0,0,0,0,0,0,,9.234499999999795,19.60049999999967,4.790671510325575,4.608344683734742,9.56774469681404,59.340810836357065,59.874954642185315,99.73098532785802,5.333586499251322,77873,77.20892709216992,0.6944561699687002,10.683319602377635,23.78219085256363,-2.8815030211717523,4.363598430426849,57.484791544000906,4.987463548117671,4.991157745055797,5.005759137586924,0.49289304487543456,0.17924856112854987,True,True,False,True,True,False,False,True,lift,False,0.05919656479624131,
B-60ml-f0.80-p-1.2-above-y278-x+0.8-y-2.9,B,all,60,0.8,-1.2,above,278,0.8,-2.9,25,40.0,47.15702017537638,45.37037037037036,39.65702017537638,False,50.59,28.4,78265,79631,0,0,0,0,0,0,,7.75799999999842,20.963499999996493,1.0351441138802866,1.3760038809268533,9.567746747213599,43.64548956247649,44.1,99.41987113112405,7.501250494503522,79631,88.33811931461089,2.2235026694796334,0.5729043886649242,39.65421253491976,10.017129091710292,2.1715602870465696,15.410437190048569,3.0688031664473296,3.08373042032784,2.852029205274189,0.08675019403107082,0.017969737422828647,True,True,True,True,True,True,False,True,recap,False,-0.2419507904742604,
B-60ml-f0.80-p+4.6-above-y324-x-1.7-y+5.8,B,all,60,0.8,4.6,above,324,-1.7,5.8,25,40.0,47.15702017537638,45.37037037037036,39.65702017537638,False,15.93,28.4,54424,718,0,0,0,0,0,38455,,,,30.997921246713034,17.95065281824225,9.570036543210223,42.39669748828644,44.1,99.28592965631394,-0.039807213743581205,718,0.3107000303169808,130.72590239779137,32.34659692202254,66.243734132185,-13.922370549644153,4.6286343472348985,14.635679867242592,,0.31805846685486916,38.80632143494146,0.1870715487111452,0.04951904403451472,True,True,False,False,False,False,False,False,lift,False,,
