id,design,varied,bottle,fill,pitch,approach,yaw,dx,dy,neck_mm,bottle_d_mm,liquid_mm,liquid_g,dive_target_mm,diverged,wall_s,sim_s,contacts_pads_bottle,contacts_blades_cap,contacts_pipette_bottle,contacts_pipette_clamp,contacts_rig_floor,contacts_pads_floor,contacts_pipette_floor,contacts_rig_bottle,contacts_clamp_rig,contacts_clamp_pads,contacts_pipette_rig,table_hit_s,thread_released_s,thread_reengaged_s,slip_mm,tilt_in_hand_deg,track_worst,pad_height_mm,pad_planned_mm,lift_mm,cap_rise_mm,blade_contacts,cap_off_axis_mm,cap_to_seat_mm,tip_off_axis_mm,tip_height_mm,tip_submerged_mm,bottle_tilt_dive_deg,liquid_to_shoulder_mm,recap_lift_mm,cap_end_mm,placed_error_mm,placed_tilt_deg,placed_z_mm,ok_table,ok_rig_clear,ok_grip,ok_lift,ok_uncap,ok_cap_away,ok_reach_liquid,ok_recap,ok_place,first_failure,success,blade_slip_turns,seated,seat_torque_Nm,seat_extra_turns,seat_hold_s,error
A-20ml-f0.25-p+0.0-above-y0-x+0.0-y+6.0,A,dy,20,0.25,0,above,0,0,6,18,27.734450974025386,10.848006492240843,4.595695685163375,29.524082122566295,False,30.6,31.4,95718,78323,1845,0,0,0,0,0,0,0,0,,8.070999999998373,20.816499999996836,0.23244853041823824,0.6998198156349522,9.797855592569206,32.212041061557656,32.30932106331029,99.07751302109259,5.2321453719640925,78323,87.72854756458634,0.3213694137346493,0.5460036569071833,5.8262560964852685,6.759183170062744,0.45805433180933974,32.17073967590719,0.17171977638544736,0.2934819209059514,6.273846353752573,0.08397075158397999,0.009722344314464598,True,True,True,True,True,True,False,True,True,reach_liquid,False,0.13927993325744814,False,,,3.0,
A-20ml-f0.25-p+0.0-above-y0-x+0.0-y-3.0,A,dy,20,0.25,0,above,0,0,-3,18,27.734450974025386,10.848006492240843,4.595695685163375,29.524082122566295,False,34.86,31.4,135944,109210,2011,0,0,0,0,0,0,0,0,,8.039499999998334,20.391499999997826,0.6090618114158696,0.28645792820671706,9.80548559294802,32.12334088157664,32.30932106331029,99.1689059189262,5.291417230443983,109210,88.90775582006239,0.19712258624859053,0.4349236535567294,5.7858919744024755,6.797708243851619,0.3148730365657533,32.201010116120116,0.1736783821593078,0.2461021921844415,18.629951866289982,0.23183064197705755,99.95602511541672,True,True,True,True,True,True,False,True,False,reach_liquid,False,0.13585302284849138,False,,,3.0,
A-20ml-f0.25-p+0.0-above-y0-x-3.0-y+0.0,A,dx,20,0.25,0,above,0,-3,0,18,27.734450974025386,10.848006492240843,4.595695685163375,29.524082122566295,False,43.59,31.4,116522,60841,21350,0,0,0,0,0,0,0,0,,7.874499999998355,22.81849999999217,2.6190974962843523,1.310097914665156,9.805490825735792,31.808593177618498,32.30932106331029,99.543512080336,5.003244219634537,60841,87.62563365129867,0.16219971300008343,2.145557210070373,15.65873997420373,-2.9954783714454676,2.133295541151558,31.816381129599275,0.16298303849506254,0.9992591384644813,15.094800695904919,0.535100793656625,100.49588705253511,True,True,True,True,True,True,False,True,False,reach_liquid,False,0.13228810904273092,False,,,3.0,
A-20ml-f0.25-p-5.0-above-y0-x+0.0-y+0.0,A,pitch,20,0.25,-5,above,0,0,0,18,27.734450974025386,10.848006492240843,4.595695685163375,29.524082122566295,False,66.23,28.4,169346,56416,95388,2475,0,0,0,0,0,0,0,,7.735499999998432,,3.3777011306468956,7.228457998643556,9.805105539327625,31.836436592446955,32.30932106331029,99.43761689275075,5.353017156818171,56416,87.03602947570072,1.090500337219833,2.8609000612177216,55.420615326836284,-42.82466355018354,5.637513409360763,31.071924278608332,,440.6981092164819,15.63895188354952,5.610085409043192,100.45038953136485,True,True,True,False,True,True,False,False,False,lift,False,0.2706956347237787,False,,,0.0,
A-20ml-f0.25-p-10.0-above-y0-x+0.0-y+0.0,A,pitch,20,0.25,-10,above,0,0,0,18,27.734450974025386,10.848006492240843,4.595695685163375,29.524082122566295,False,74.79,28.4,128395,9171,26881,0,0,0,0,0,0,0,0,,7.211499999998723,,7.922441614439548,11.970528420582422,9.805369494595785,31.961717828176777,32.30932106331029,99.32080435751178,-0.007321289098839723,9171,1.177915818858864,128.46539162147414,1.8313812611272333,50.92678055816951,-37.520533221888336,11.170369708026422,29.875738159185158,,4.117908915822586,18.003655707290953,11.43499330096537,100.77166529633104,True,True,True,False,True,False,False,False,False,lift,False,0.27366270562327044,False,,,0.0,
A-20ml-f0.50-p+0.0-above-y0-x+0.0-y+0.0,A,nominal,20,0.5,0,above,0,0,0,18,27.734450974025386,21.696012984481687,9.19139137032675,38.22009510704798,False,29.12,31.4,88133,109133,10416,0,0,0,0,0,0,0,0,,7.985999999998294,19.95299999999885,0.2613883162848891,0.21202635398186384,9.79785559698544,32.05991791775994,32.30932106331029,99.22435176969763,5.572244130073033,109133,89.37373129490055,0.3253776363515303,0.1860162689141965,14.039287362480376,9.389939009149959,0.08095248144308138,21.402455939940456,0.08292723076071375,0.3133452534000529,0.3716113794309377,1.314367821619951e-05,-0.0015646466786076855,True,True,True,True,True,True,False,True,True,reach_liquid,False,0.13731386066677884,False,,,3.0,
A-20ml-f0.25-p+10.0-above-y0-x+0.0-y+0.0,A,pitch,20,0.25,10,above,0,0,0,18,27.734450974025386,10.848006492240843,4.595695685163375,29.524082122566295,False,67.33,28.4,97874,9132,24762,0,0,0,0,0,0,0,0,,,,4.10238866319168,8.236765347594185,9.797852502834429,32.07955503208499,32.30932106331029,99.21778630630237,-3.512989076896837,9132,0.6839315572499184,127.53208253396036,2.8152901256242746,29.014445166686478,-16.577656534207577,3.7344855034726714,31.476972362053484,,2.1660958021796834,11.058804031308542,5.078726119676095,1.06000171110746,True,True,True,False,False,False,False,False,False,lift,False,,False,,,0.0,
A-20ml-f0.50-p+5.0-above-y0-x+0.0-y+0.0,A,pitch,20,0.5,5,above,0,0,0,18,27.734450974025386,21.696012984481687,9.19139137032675,38.22009510704798,False,30.86,28.7,88873,66637,17638,0,0,0,0,0,0,0,0,,8.423999999998804,22.08049999999389,1.035368954120983,1.333827722092311,9.79790520171545,31.977573495614273,32.30932106331029,99.30112242573769,4.985795469270124,66637,81.160580634446,0.5949715640114541,1.9637890927432566,23.460456611836214,-0.07993025270761067,1.448703197327899,21.11324318619492,0.019760856494394588,1.0000179800536095,1.01552178340368,0.29924339723938675,0.054435595499799885,True,True,True,True,True,True,False,True,True,reach_liquid,False,0.1963463485287035,True,0.1489536039542034,0.19594090585539056,0.301,
A-20ml-f0.25-p+0.0-above-y0-x+0.0-y+3.0,A,dy,20,0.25,0,above,0,0,3,18,27.734450974025386,10.848006492240843,4.595695685163375,29.524082122566295,False,44.03,31.4,141230,83385,14882,0,0,0,0,0,0,0,0,,8.03649999999833,20.16249999999836,1.0690950136082153,0.8155305252857882,9.805485712615553,32.16424334424023,32.30932106331029,99.12432240359844,5.323243329359823,83385,88.04461717980497,0.303773396337978,0.15378186698782956,10.080893084885373,2.5001180788324224,0.2966413906451868,32.2048644622649,0.1757825678559297,1.0180328592163148,18.567326777885533,0.7507971085675039,100.0866100629928,True,True,True,True,True,True,False,True,False,reach_liquid,False,0.13434098865810967,False,,,3.0,
A-20ml-f0.50-p+0.0-side-y0-x+0.0-y+0.0,A,approach,20,0.5,0,side,0,0,0,18,27.734450974025386,21.696012984481687,9.19139137032675,38.22009510704798,False,29.09,31.4,88462,107560,9214,0,0,0,0,0,0,0,0,,7.896499999998343,20.221499999998223,0.32846851322522297,0.2074514615609957,9.567311627996837,32.059884231714804,32.30932106331029,99.22438351967034,5.9727303577796,107560,89.59750904526967,0.7038833634995739,0.19025677272920433,13.920638757304353,9.508600551030256,0.055294510789922015,21.407880136144783,0.047268000830670745,0.5812041603759813,0.4028438144498285,3.0281896147772326e-05,-0.001564645655216019,True,True,True,True,True,True,False,True,True,reach_liquid,False,0.1417226827846627,False,,,3.0,
